time,open,high,low,close,MA50,MA20,MHULL,SHULL,MA100,Volume,Volume MA,RSI,Premium Index,Funding Rate,Histogram,MACD,Signal
2016-01-01T00:00:00Z,429.17,432.15,428.17,430.38,NaN,NaN,NaN,NaN,NaN,896,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-01T04:00:00Z,431.51,436.49,429.77,433.18,NaN,NaN,NaN,NaN,NaN,5553,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-01T08:00:00Z,433.18,433.82,429.79,433.01,NaN,NaN,NaN,NaN,NaN,1342,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-01T12:00:00Z,433.24,434.9,426.26,432.25,NaN,NaN,NaN,NaN,NaN,3290,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-01T16:00:00Z,432.47,434.28,432.01,432.93,NaN,NaN,NaN,NaN,NaN,701,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-01T20:00:00Z,432.93,434.89,432.9,433.98,NaN,NaN,NaN,NaN,NaN,1286,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-02T00:00:00Z,433.89,435.8,430.3,432.99,NaN,NaN,NaN,NaN,NaN,1986.25930345,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-02T04:00:00Z,432.79,434.31,431.01,431.43,NaN,NaN,NaN,NaN,NaN,613.57560945,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-02T08:00:00Z,431.22,434.59,431.01,431.01,NaN,NaN,NaN,NaN,NaN,504.32092184,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-02T12:00:00Z,431.01,432.07,430,431.34,NaN,NaN,NaN,NaN,NaN,1343.4404283,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-02T16:00:00Z,432.08,435.65,431.8,432.63,NaN,NaN,NaN,NaN,NaN,1234.80927197,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-02T20:00:00Z,432.5,434.56,431.7,432.7,NaN,NaN,NaN,NaN,NaN,665.54739576,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-03T00:00:00Z,432.66,433.07,427.32,430.57,NaN,NaN,NaN,NaN,NaN,3562.94479051,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-03T04:00:00Z,430.62,432.11,428.46,429.99,NaN,NaN,NaN,NaN,NaN,980.03484637,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-01-03T08:00:00Z,429.88,430.25,428.9,429.11,NaN,NaN,NaN,NaN,NaN,321.86767808,NaN,45.36834427425240,NaN,NaN,NaN,NaN,NaN
2016-01-03T12:00:00Z,429.45,429.99,421.96,426.98,NaN,NaN,NaN,NaN,NaN,4799.78173233,NaN,38.865657293919800,NaN,NaN,NaN,NaN,NaN
2016-01-03T16:00:00Z,426.99,427.5,421.73,423.2,NaN,NaN,NaN,NaN,NaN,5849.37746264,NaN,30.508513929642200,NaN,NaN,NaN,NaN,NaN
2016-01-03T20:00:00Z,423.2,429.6,422,428.39,NaN,NaN,NaN,NaN,NaN,3682.8468534,NaN,47.272850469862300,NaN,NaN,NaN,NaN,NaN
2016-01-04T00:00:00Z,428.63,431.15,426.97,430.72,NaN,NaN,NaN,NaN,NaN,2044.225854,NaN,52.78030812674000,NaN,NaN,NaN,NaN,NaN
2016-01-04T04:00:00Z,430.77,431.5,428.02,431.38,NaN,430.9085,NaN,NaN,NaN,913.03205611,2078.5032102105000,54.2384191393535,NaN,NaN,NaN,NaN,NaN
2016-01-04T08:00:00Z,431.5,432.5,429.74,431.37,NaN,430.95800000000000,NaN,NaN,NaN,1610.94186682,2114.2503035515000,54.21110443876800,NaN,NaN,NaN,NaN,NaN
2016-01-04T12:00:00Z,431.44,434.3,430.19,432.76,NaN,430.937,NaN,NaN,NaN,3183.95870647,1995.798238875,57.42095505349740,NaN,NaN,NaN,NaN,NaN
2016-01-04T16:00:00Z,432.67,434.45,431.51,432.48,NaN,430.91050000000000,NaN,NaN,NaN,1614.74331722,2009.435404736,56.56081684522550,NaN,NaN,NaN,NaN,NaN
2016-01-04T20:00:00Z,432.49,435.67,430.59,432.9,NaN,430.94300000000000,NaN,NaN,NaN,3583.48023191,2024.1094163315,57.58711047218310,NaN,NaN,NaN,NaN,NaN
2016-01-05T00:00:00Z,432.61,434.91,431.87,433.54,NaN,430.97350000000000,NaN,NaN,NaN,1805.82041344,2079.3504370035,59.17011973222810,NaN,NaN,NaN,NaN,NaN
2016-01-05T04:00:00Z,433.57,434.34,431.42,431.8,NaN,430.86450000000000,NaN,NaN,NaN,929.75190406,2061.5380322065000,53.34102747851950,NaN,NaN,NaN,0.2662933476220250,NaN
2016-01-05T08:00:00Z,431.8,432.87,428.34,429.8,NaN,430.70500000000000,NaN,NaN,NaN,3224.03134934,2123.426634501,47.54335429579410,NaN,NaN,NaN,0.10806018303060200,NaN
2016-01-05T12:00:00Z,429.6,433.2,427.91,432.99,NaN,430.783,NaN,NaN,NaN,3441.52414539,2264.824061298,55.796097576767600,NaN,NaN,NaN,0.23732980982612200,NaN
2016-01-05T16:00:00Z,432.99,433.17,430.76,432,NaN,430.8325,NaN,NaN,NaN,1119.10371083,2295.5632007475,53.00885091453810,NaN,NaN,NaN,0.25693045976765900,NaN
2016-01-05T20:00:00Z,432,432.41,430.5,431.84,NaN,430.85750000000000,NaN,NaN,NaN,651.7722943,2260.9797940475,52.55194180342190,NaN,NaN,NaN,0.2565955791261560,NaN
2016-01-06T00:00:00Z,431.99,432.24,425.03,426.68,NaN,430.56000000000000,NaN,NaN,NaN,3292.57755461,2363.8682081795,40.44443753899770,NaN,NaN,NaN,-0.1582148895146250,NaN
2016-01-06T04:00:00Z,426.28,430,425.69,428.74,NaN,430.36200000000000,NaN,NaN,NaN,1168.41748694,2389.0117127385,45.811933428882000,NaN,NaN,NaN,-0.31707534341251200,NaN
2016-01-06T08:00:00Z,428.65,430.15,427.58,429.88,NaN,430.3275,NaN,NaN,NaN,891.08072013,2255.4185092195,48.57412257632000,NaN,NaN,NaN,-0.3469850968263590,NaN
2016-01-06T12:00:00Z,429.89,430.25,428.95,429.87,NaN,430.3215,NaN,NaN,NaN,855.11023489,2249.1722786455000,48.550743600763300,NaN,NaN,-0.3601145735095830,-0.36726213899589800,-0.007147565486314360
2016-01-06T16:00:00Z,430,430.4,429.01,429.26,NaN,430.329,NaN,NaN,NaN,1000.42586025,2283.1001877540000,47.0627125762962,NaN,NaN,-0.3363814321196570,-0.42762435563588500,-0.0912429235162285
