time,open,high,low,close,MA,Fast EMA 1,Fast EMA 2,Fast EMA 3,Fast EMA 4,Fast EMA 5,Fast EMA 6,Fast EMA 7,Slow EMA 8,Slow EMA 9,Slow EMA 10,Slow EMA 11,Slow EMA 12,Slow EMA 13,Slow EMA 14,Slow EMA 15,Slow EMA 16,Slow EMA 17,Slow EMA 18,Slow EMA 19,Slow EMA 20,Slow EMA 21,Slow EMA 22,EMA 200,Volume,Volume MA,RSI,Premium Index,Funding Rate,Histogram,MACD,Signal
2010-07-17T00:00:00Z,0.04951,0.04951,0.04951,0.04951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-18T00:00:00Z,0.05941,0.08585,0.05941,0.08584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-19T00:00:00Z,0.0909,0.09307,0.07723,0.0808,NaN,0.07205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,574,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-20T00:00:00Z,0.08181,0.08181,0.07426,0.07474,NaN,0.073395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,262,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-21T00:00:00Z,0.07425,0.07921,0.06634,0.07921,NaN,0.0763025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,575,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-22T00:00:00Z,0.07921,0.08181,0.0505,0.05149,NaN,0.06389625,0.07026500000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2160,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-23T00:00:00Z,0.0505,0.06767,0.0505,0.06262,NaN,0.063258125,0.06808071428571429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2402.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-24T00:00:00Z,0.06161,0.06161,0.05049,0.05454,NaN,0.0588990625,0.06421193877551021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,496.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-25T00:00:00Z,0.05545,0.05941,0.0505,0.0505,NaN,0.05469953125,0.060294241982507296,0.06547222222222222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1551.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-26T00:00:00Z,0.05,0.056,0.05,0.056,NaN,0.055349765625000005,0.059067315701790926,0.06357777777777777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,877,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-27T00:00:00Z,0.0559,0.0605,0.053,0.06,NaN,0.0576748828125,0.05933379692985066,0.06286222222222222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3373.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-28T00:00:00Z,0.06,0.062,0.054,0.0589,NaN,0.05828744140625,0.05920985494989333,0.06206977777777778,0.06367916666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4390.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-29T00:00:00Z,0.0597,0.0699,0.0571,0.0699,NaN,0.064093720703125,0.06226418210706666,0.06363582222222222,0.06463621794871795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8058.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-30T00:00:00Z,0.0698,0.0698,0.0582,0.0627,NaN,0.0633968603515625,0.06238870150504762,0.06344865777777778,0.0643383382642998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3020.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
